Grocery Flyer Deals for Super C in Montreal
==================================================

- **jeunes épinards Attitude | Attitude baby spinach**: $4.99
- **FRAMBOISES | RASPBERRIES**: $3.99
- **oignons jaunes | yellow onions**: $5.99
- **Fromage paneer Tre Stelle | Tre Stelle paneer cheese**: $5.49
- **crevettes nordiques cuites Caravelle | Caravelle frozen cooked nordic shrimp**: $9.99
- **filets de poulet panés | breaded chicken fillets**: $9.99
- **melon amer ou karela, lobok (daikon), aubergines indiennes | bitter or karela melon, lobok (daikon) or indian eggplants**: $1.69
- **Huile d'olive extra vierge Aurora | Aurora extra virgin olive oil**: $8.99
- **poulet haché maigre Zabiha Halal | Zabiha Halal lean ground chicken**: $3.49
- **essence eau de fleur d'oranger Cedar | Cedar orange blossom water**: $1.99
- **Amuse gueule Crispers, Christies | Christies Crispers snacks**: $2.5
- **litchis en conserve Cedar | Cedar lychees**: $3.99
- **yogourt nature halal Khaas | Khaas halal plain yogourt**: $3.49
- **poitrines de poulet désossées Zabiha Halal | Zabiha Halal boneless chicken breasts**: $7.49
- **Cupcakes Petit Pré | Petit Pré cupcakes**: $7.99
- **Oreilles de crisse Théberge | Théberge crispy pork rinds**: $4.99
- **Selection fruits | fruits Selection**: $3.79
- **Saucisses Lafleur | Lafleur sausages**: $5.99
- **tomates cerises rouges en grappes ou trio | cherry tomatoes**: $7.99
- **biere Corona Extra, Stella Artois, Heineken, Sapporo**: $34.28
- **poulet cuit et chaud | hot cooked chicken**: $9.99
- **ANANAS TROPICAL GOLD | TROPICAL GOLD PINEAPPLE IMPORTÉ DU COSTA RICA, GR 8 OU PITAHAYA (FRUIT DU DRAGON) IMPORTÉ DE L'ÉQUATEUR, GR 10-12**: $2.99
- **saucisses porc et boeuf Lafleur | pork & beef sausages**: $5.99
- **Moules Irrésistible | Irresistible mussels**: $9.99
- **Riz Ben Original's Vite & Bon | Ben's original Fast & Fancy rice**: $1.69
- **Courges grandes (opo) | opo squashes**: $1.69
- **nouilles chow mein Farkay | Farkay chow mein noodles**: $5.49
- **thé en sachet orange pekoe Tetley | Tetley orange pekoe tea bag**: $4.99
- **nectar Best | Best nectar**: $2.99
- **huile de coco Irrésistible | Irrésistible coconut oil**: $5.99
- **samosas Cedar | Cedar samosas**: $4.99
- **Riz basmati 777 Phoenicia | Phoenicia 777 basmati rice**: $14.99
- **biscottes taralli Aurora | Aurora taralli rusks**: $3.49
- **sauce indienne Patak's | marinade cari Patak's**: $3.99
- **gâteau quatre-quarts Crispy | Crispy pound cake**: $3.88
- **dattes Castle Farms Ajwa Almadina | Castle Farms dates**: $7.99
- **rôti de palette de boeuf halal désossé | boneless halal beef blade roast**: $7.77
- **Très grosse papaye | jumbo papaya**: $0.99
- **légumineuses Cedar | Cedar legumes**: $1.79
- **Goyave | guava**: $0.99
- **Pain mince Lavash gugo | gugo Lavash flatbread**: $1.88
- **melon santa claus ou canari | santa claus or canary melon**: $0.99
- **Oignons rouges | red onions**: $2.99
- **patates douces | sweet potatoes**: $1.49
- **coulis de tomates | Aurora strained tomatoes**: $1.99
- **Huile de tournesol Cedar | Cedar sunflower oil**: $10.29
- **gâteau aux sucres et sirop d'érable Boulangerie St-Donat | St-Donat Bakery sugar and maple syrup cake**: $8.99
- **Tire éponge à l'érable | sponge toffee**: $2.99
- **Churros 8 po | churros**: $9.99
- **Jambon fumé Irrésistible Artisan | Irrésistible Artisan smoked ham**: $6.49
- **beignes aux patates Beignes d'Antan | Beignes d'Antan potato donuts**: $5.49
- **Gâteau saveur d'érable Selection | Selection sliced maple cakes**: $4.99
- **mini-piments doux | mini sweet peppers**: $4.99
- **figues fraîches | fresh figs**: $9.99
- **Céréales Kellogg's | Kellogg's cereal**: $3.87
- **tarte aux sucres et sirop d'érable, tourbillon, Boulangerie St-Donat | St-Donat Bakery sugar and maple syrup pie**: $8.99
- **bière Labatt | Molson, Sleeman**: $70.98
- **Vin rouge ou blanc | red or white wine**: $8.0
